ID|Emotion|Factor|Situation|Memories
0|Anger|Anger-0|When you discuss your opinions with your parents and they don't take them seriously, very often you get some irritating answers. Your opinions are not considered.|During dinner, I share my perspective on a recent event that has been in the news. I outline my thoughts clearly to the others at the table.~My parents listen to my point and acknowledge it with a quick response. Shortly after, they transition the topic of our discussion to something else.~I see an opportunity to steer the conversation back to the original subject I brought up. I try to provide more details and clarify my earlier points.~In response, my parents offer a casual remark minimizing the importance of the topic. They then continue to talk about the new subject they introduced.~The dinner conversation moves on without revisiting my opinion in depth. After the discussion, we engage in the remaining planned activities for the evening.
1|Anger|Anger-0|If your classmate talks back to you when there's no reason. That there is no real reason to oppose.|In the midst of the class discussion, I contribute by sharing my perspective on the topic being debated.~Following my contribution, a peer articulates a perspective that seems to diverge from the central theme of my initial statement.~To prevent any potential confusion, I restate my original argument with added emphasis on the key elements to make my position clear.~Despite my efforts to clarify, the same individual persists in offering viewpoints that do not appear to align with the refined explanation of my stance.~As the discussion wraps up without reaching a clear consensus on the matter, we collectively shift our attention to a new subject as per the instructor's guidance.
2|Anger|Anger-0|If some older people like your parents are discussing a movieand you want to join in, and they say you wouldn't understand. Sometimes they say you have to understand. Some other times you're too young. It doesn't matter if you're young; you can understand anyway.|While at home, I happen to catch snippets of a discussion my parents are having about a movie. The movie appears to have deep and intricate themes based on their conversation.~Feeling intrigued by their exchange, I interject and express a wish to add my point of view to their dialogue about the movie.~In response, my parents turn to me and explain that the movie contains layered and complex material, which might be challenging for me to fully understand.~In some instances during our talks, my parents hint that my current age may not equip me with the necessary perspective to appreciate the full depth of the movie's themes.~Regardless of the concerns about my age, I hold onto the belief that I am capable of understanding and interpreting the intricate subject matter of the movie.
3|Anger|Anger-0|When your classmate says the Earth is flat and they think is right, but you know it's wrong and they won't admit they're wrong. Their stubbornness, not wanting to confess to a mistake.|The classroom is filled with desks and a chalkboard at the front. The teacher initiates a discussion on various scientific topics, including the shape of the Earth.~During the discussion, a peer of mine presents their viewpoint, stating that they believe the Earth is flat. They speak with confidence and refer to this idea as a factual statement.~In response, I refer to our textbooks and cite the scientific consensus, pointing out the evidence that supports the Earth's spherical shape. I share this information with the intent of contributing to the discussion.~After presenting the evidence, the same classmate continues to assert their original claim. They do not engage with the evidence I have brought to their attention.~The class period ends, and as the students pack up and leave the room, it is apparent that my classmate's viewpoint on the shape of the Earth remains the same.
4|Anger|Anger-0|When you know you're right, but the others say your view is wrongelse and you cannot prove you're right.|During the team meeting, I present the details of my view, explaining the rationale behind my position based on certain data points.~As I finish my explanation, the team members share their perspectives, pointing out that the information I've presented appears inconsistent with their understanding of the subject matter.~In order to substantiate my viewpoint, I attempt to bring up the specific data on which my conclusions are based. However, I encounter difficulty in accessing the necessary documents at that time.~After a discussion, the team concludes that it is best to move forward with the approach that aligns with the majority's view, citing the absence of the documents needed to corroborate my stance.~Post-meeting, I dedicate time to locate and examine the pertinent data. Upon review, I find that the data indeed substantiates the view I initially presented during the meeting.
13|Anger|Anger-1|When your older brother has taken money from Mom's purse and you are blamed because you're the youngest one. They accuse you though you didn't take it.|I enter the room and see my older brother standing near Mom's purse. He looks around, then his hand moves into the purse, and when it comes out, he has money in his hand.~Some time passes, and Mom approaches me with a question about the money she can't find in her purse. I answer her questions, stating that I have no knowledge about it.~While responding to Mom's questions, I sense that she is not fully convinced by my answers. The fact that I am the youngest seems to factor into her reaction.~Throughout the questioning, I am cognizant of the fact that my older brother is present. He remains silent and does not disclose any information about the incident.~The decision is made that I will face consequences for the missing money. I acknowledge the decision, even though I am aware that the true nature of the event is not being addressed by my brother.
14|Anger|Anger-1|If your mother blames you for breaking a vase that you have not done.|I am seated in the living room, engaged in my own activities, when I hear the sound of shattering glass from the adjacent room.~Shortly thereafter, my mother enters the living room, her gaze shifting from the broken vase fragments on the floor to me.~She articulates her conclusion that I am the individual responsible for the vase's current state.~In response, I communicate to her that I was not connected to the event that resulted in the vase breaking.~Despite my explanation, my mother maintains her stance on my involvement and delegates to me the responsibility of collecting and disposing of the broken pieces.
15|Anger|Anger-1|When your mom has lost some money, she always puts the blame on you and thinks you took it. She always thinks you are the one to blame.|I observe my mom pacing around the house, checking various places such as drawers and underneath cushions.~My mom approaches me with a question, inquiring if I have come across any misplaced money recently.~I respond to her query, informing her that I have neither seen nor taken any money.~My mom resumes her search through the house, checking additional potential hiding spots and reiterating her question to me, implying that I might have information about the money's whereabouts.~I notice that my mom is still engaged in her search for the missing money, and her actions and repeated questions suggest that she is considering me as a possible suspect in the matter.
16|Anger|Anger-1|When you're tired and have slept too little, and everybody just keeps nagging at you at home, you get put out and would rather have peace and quiet.|After a shorter period of rest than usual, I open my eyes to the beginning of a new day.~As I progress through my morning activities at home, I find myself engaged by various household members who initiate conversations that require my input or direct involvement.~I notice that the more I try to continue with my daily tasks, the more frequent these conversational engagements become.~I decide that in order to proceed with my activities undisturbed, I need to find a location that offers a reduction in these interactions.~I move to a different part of the premises where there are fewer individuals present and the auditory environment is less disruptive, which provides a setting more conducive to solitude.
17|Anger|Anger-1|When your parents take their bad morning mood out on you, even though it's none of your business, you think that people who are in a bad temper don't necessarily have to let it come out on other people if it isn't necessary.|In the morning, I see my parents having a discussion. Their facial expressions are strained and their conversation is audible throughout the house.~Their voices carry a certain edge, and their speech is louder than it typically is during our morning routine.~I find myself on the receiving end of comments from them that seem pointed, though I can't correlate them to any of my own actions.~The thought crosses my mind that people can choose how to handle their internal states and this can affect their external reactions.~I proceed to go about my usual morning activities, focusing on completing the tasks at hand without engaging in the earlier exchange.
